Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-02-20,57721,16672,Desenvolvimento de Software,Nordeste,Sim,2023-06-01,Serviços Gerenciados,Faturamento de Licença,78900,Boleto,A Pagar,2023-12-03,49696,Pago,111534,Marketing,34304,82634,89161,492399,7 parcelas até 2023-11-14,8038,2023-03-13,37,30248
2023-02-21,95658,41693,Consultoria em TI,Sul,Não,2023-10-21,Serviços Gerenciados,Venda de Hardware,80890,PIX,A Pagar,2023-05-28,26365,Pago,81549,Marketing,50128,73177,97706,919463,32 parcelas até 2023-12-04,47138,2023-10-19,77,42022
2023-02-22,56306,30028,Infraestrutura de TI,Sudeste,Não,2023-01-13,Licenciamento de Software,Manutenção de Servidor,28146,PIX,A Receber,2023-03-27,13272,Pendente,345059,Infraestrutura,25070,168083,35417,899965,4 parcelas até 2023-01-24,32221,2023-08-22,42,23591
2023-02-23,37512,36881,Desenvolvimento de Software,Nordeste,Não,2023-11-21,Serviços Gerenciados,Faturamento de Licença,32727,Boleto,A Receber,2023-09-27,26857,Pendente,453369,Marketing,30143,138772,49034,330501,23 parcelas até 2023-11-19,26256,2023-03-01,52,21227
2023-02-24,13995,19324,Suporte Técnico,Sudeste,Sim,2023-12-15,Serviços Gerenciados,Manutenção de Servidor,60961,PIX,A Pagar,2023-02-12,18132,Pendente,364303,Marketing,50251,154250,96608,986997,7 parcelas até 2023-10-01,48472,2023-07-27,58,20127
2023-02-25,98370,42363,Suporte Técnico,Sudeste,Sim,2023-12-31,Manutenção,Venda de Hardware,40903,Boleto,A Pagar,2023-08-13,25356,Atrasado,461254,Infraestrutura,60922,97648,29770,553512,35 parcelas até 2023-04-09,41747,2023-11-26,16,18320
2023-02-26,39476,69072,Infraestrutura de TI,Sudeste,Sim,2023-09-04,Serviços Gerenciados,Contrato de Serviço,91377,Cartão de Crédito,A Receber,2023-07-29,39435,Pendente,129321,Desenvolvimento,67739,172301,99574,586164,10 parcelas até 2023-05-03,41782,2023-12-12,52,4609
2023-02-27,52025,78922,Infraestrutura de TI,Nordeste,Não,2023-12-06,Licenciamento de Software,Contrato de Serviço,33284,Transferência,A Receber,2023-08-31,11397,Pendente,199215,Desenvolvimento,60674,64863,85655,675965,7 parcelas até 2023-04-20,11082,2023-08-17,43,38749
2023-02-28,89084,38859,Suporte Técnico,Sudeste,Não,2023-04-06,Serviços Gerenciados,Contrato de Serviço,9607,Boleto,A Pagar,2023-07-22,40050,Pago,76331,Desenvolvimento,62224,52797,59676,951638,22 parcelas até 2023-04-28,9890,2023-07-26,46,32738
2023-03-01,18221,17538,Desenvolvimento de Software,Sul,Não,2023-08-11,Manutenção,Faturamento de Licença,6868,Cartão de Crédito,A Receber,2023-03-13,7281,Pendente,76017,Infraestrutura,26309,90097,38791,133343,14 parcelas até 2023-09-25,34261,2023-06-09,36,4878
2023-03-02,64227,74535,Suporte Técnico,Sul,Sim,2023-07-14,Venda de Equipamentos,Contrato de Serviço,56840,Boleto,A Receber,2023-11-08,12846,Pendente,473457,Comercial,43266,126451,61343,891338,3 parcelas até 2023-04-17,23903,2023-11-30,78,48659
2023-03-03,95125,44696,Infraestrutura de TI,Sudeste,Não,2023-03-16,Venda de Equipamentos,Faturamento de Licença,48160,Transferência,A Receber,2023-08-10,36366,Atrasado,74261,Comercial,59803,159773,80894,388037,21 parcelas até 2023-11-10,33960,2023-03-28,42,22607
2023-03-04,45288,42007,Consultoria em TI,Sudeste,Não,2023-05-07,Serviços Gerenciados,Contrato de Serviço,16705,PIX,A Pagar,2023-02-24,46309,Pendente,388126,Infraestrutura,37427,127602,76143,372841,25 parcelas até 2023-10-20,39920,2023-09-29,25,45966
2023-03-05,56765,65780,Suporte Técnico,Sudeste,Não,2023-12-07,Manutenção,Venda de Hardware,77170,PIX,A Pagar,2023-07-31,40000,Pendente,145601,Infraestrutura,34307,140910,32764,192388,15 parcelas até 2023-09-26,44876,2023-09-06,82,26340
2023-03-06,28557,28605,Infraestrutura de TI,Sul,Não,2023-08-02,Venda de Equipamentos,Contrato de Serviço,62457,Boleto,A Pagar,2023-07-27,26935,Atrasado,91858,Marketing,37284,169625,88960,297285,31 parcelas até 2023-01-10,12727,2023-02-13,89,48495
2023-03-07,80032,11498,Desenvolvimento de Software,Sul,Sim,2023-02-15,Licenciamento de Software,Contrato de Serviço,51288,Transferência,A Pagar,2023-06-25,18537,Pago,480256,Comercial,50502,153995,28611,679192,5 parcelas até 2023-02-13,29109,2023-03-15,23,28269
2023-03-08,79118,23536,Consultoria em TI,Sudeste,Não,2023-07-07,Venda de Equipamentos,Faturamento de Licença,66845,Boleto,A Receber,2023-08-08,8429,Atrasado,186344,Infraestrutura,59622,118930,42934,833472,19 parcelas até 2023-04-27,23920,2023-06-02,53,49897
2023-03-09,28000,57032,Infraestrutura de TI,Sudeste,Não,2023-04-03,Manutenção,Faturamento de Licença,26882,Cartão de Crédito,A Pagar,2023-06-20,39637,Atrasado,486005,Marketing,49153,70973,81584,156413,8 parcelas até 2023-04-24,16585,2023-04-10,34,41625
2023-03-10,57802,16277,Infraestrutura de TI,Sul,Sim,2023-04-25,Manutenção,Manutenção de Servidor,61696,Cartão de Crédito,A Receber,2023-06-16,21099,Pago,162772,Infraestrutura,78212,66272,62329,219252,2 parcelas até 2023-02-06,13872,2023-04-22,69,19729
2023-03-11,36762,44106,Suporte Técnico,Norte,Sim,2023-02-26,Serviços Gerenciados,Manutenção de Servidor,99007,Cartão de Crédito,A Pagar,2023-08-16,14007,Pendente,390061,Marketing,44083,141063,28647,87918,4 parcelas até 2023-10-25,39229,2023-12-16,29,24472
2023-03-12,13836,41153,Consultoria em TI,Sul,Não,2023-07-19,Licenciamento de Software,Contrato de Serviço,56633,Boleto,A Pagar,2023-11-01,6444,Pendente,436145,Infraestrutura,56196,109769,70978,774549,32 parcelas até 2023-04-09,16452,2023-07-25,23,43167
2023-03-13,95681,42260,Suporte Técnico,Sudeste,Sim,2023-10-13,Serviços Gerenciados,Manutenção de Servidor,94483,PIX,A Pagar,2023-11-14,37434,Pendente,233158,Comercial,74171,125332,35588,980009,33 parcelas até 2023-07-17,5252,2023-03-03,59,22676
2023-03-14,29930,17958,Infraestrutura de TI,Sudeste,Não,2023-11-27,Venda de Equipamentos,Contrato de Serviço,80052,Transferência,A Receber,2023-03-27,5740,Atrasado,281757,Marketing,59026,194004,70704,694053,32 parcelas até 2023-12-15,17738,2023-06-11,52,17862
2023-03-15,53369,43538,Infraestrutura de TI,Sul,Não,2023-04-06,Venda de Equipamentos,Venda de Hardware,59246,Cartão de Crédito,A Pagar,2023-04-18,47850,Atrasado,340730,Comercial,65837,189111,20022,417616,18 parcelas até 2023-02-05,39482,2023-08-30,22,39521
2023-03-16,56367,30681,Infraestrutura de TI,Norte,Sim,2023-08-07,Manutenção,Faturamento de Licença,33787,PIX,A Receber,2023-06-15,48466,Pendente,199121,Marketing,59968,67901,87647,149644,22 parcelas até 2023-03-22,23114,2023-07-31,23,42462
2023-03-17,29664,33313,Desenvolvimento de Software,Sul,Sim,2023-12-10,Venda de Equipamentos,Manutenção de Servidor,56192,Transferência,A Receber,2023-11-26,8203,Pendente,208074,Comercial,42797,88822,71411,142560,21 parcelas até 2023-06-23,37399,2023-11-11,26,10286
2023-03-18,82494,20689,Suporte Técnico,Nordeste,Sim,2023-09-05,Serviços Gerenciados,Faturamento de Licença,56284,Cartão de Crédito,A Pagar,2023-08-29,10487,Atrasado,71625,Marketing,34444,88650,38805,650981,33 parcelas até 2023-10-16,39148,2023-03-15,59,13301
2023-03-19,34090,45065,Desenvolvimento de Software,Nordeste,Não,2023-07-05,Licenciamento de Software,Manutenção de Servidor,24427,Cartão de Crédito,A Receber,2023-08-24,18282,Pago,274161,Comercial,24232,72218,58884,825673,1 parcelas até 2023-03-30,47143,2023-06-24,83,14316
2023-03-20,38735,44710,Desenvolvimento de Software,Sudeste,Sim,2023-05-21,Venda de Equipamentos,Manutenção de Servidor,8303,Transferência,A Receber,2023-05-02,27120,Atrasado,320676,Infraestrutura,50687,80539,63527,679900,24 parcelas até 2023-01-18,15897,2023-10-06,81,13014
2023-03-21,50211,75861,Desenvolvimento de Software,Norte,Não,2023-11-16,Manutenção,Manutenção de Servidor,91459,Cartão de Crédito,A Receber,2023-07-26,49498,Atrasado,197713,Comercial,71318,108369,85572,155658,30 parcelas até 2023-03-16,27865,2023-09-17,44,26775
2023-03-22,32607,13648,Consultoria em TI,Norte,Sim,2023-09-03,Licenciamento de Software,Manutenção de Servidor,24825,Boleto,A Receber,2023-06-05,18118,Pago,384042,Comercial,48633,77820,75518,766125,28 parcelas até 2023-01-11,48698,2023-12-18,33,2899
2023-03-23,18776,36257,Desenvolvimento de Software,Norte,Sim,2023-04-11,Licenciamento de Software,Faturamento de Licença,38150,Transferência,A Receber,2023-04-15,40204,Pago,319640,Infraestrutura,32925,178650,25323,727591,17 parcelas até 2023-09-04,5730,2023-01-29,22,8267
2023-03-24,62060,52702,Consultoria em TI,Norte,Sim,2023-03-29,Manutenção,Contrato de Serviço,21524,Boleto,A Pagar,2023-07-29,11731,Pago,115244,Infraestrutura,47710,198081,99677,744693,6 parcelas até 2023-07-14,41255,2023-11-11,83,31949
2023-03-25,54090,7979,Consultoria em TI,Nordeste,Não,2023-10-28,Licenciamento de Software,Venda de Hardware,99932,Cartão de Crédito,A Pagar,2023-04-14,45534,Pendente,64585,Desenvolvimento,76581,165917,97788,890746,13 parcelas até 2023-09-21,27674,2023-02-21,18,40266
2023-03-26,75332,9199,Infraestrutura de TI,Sudeste,Não,2023-05-07,Serviços Gerenciados,Contrato de Serviço,23240,Cartão de Crédito,A Pagar,2023-02-28,6204,Atrasado,340540,Comercial,47057,102620,79536,485999,15 parcelas até 2023-04-13,46526,2023-09-02,61,3645
2023-03-27,15538,79687,Infraestrutura de TI,Nordeste,Sim,2023-07-21,Manutenção,Faturamento de Licença,14981,Boleto,A Pagar,2023-04-25,40289,Pago,65360,Infraestrutura,54236,90417,45040,283141,20 parcelas até 2023-01-16,14635,2023-02-02,69,23755
2023-03-28,98838,11598,Suporte Técnico,Nordeste,Sim,2023-04-09,Venda de Equipamentos,Manutenção de Servidor,95372,Transferência,A Pagar,2023-12-27,47213,Pendente,294072,Infraestrutura,27647,105286,20077,51446,35 parcelas até 2023-03-19,35051,2023-12-15,95,38741
2023-03-29,66519,5964,Consultoria em TI,Norte,Não,2023-06-04,Venda de Equipamentos,Contrato de Serviço,21316,Cartão de Crédito,A Pagar,2023-01-13,25045,Pendente,189903,Comercial,60922,53317,54236,306807,2 parcelas até 2023-06-20,40276,2023-04-06,45,30460
2023-03-30,16351,8748,Consultoria em TI,Sul,Não,2023-06-09,Serviços Gerenciados,Contrato de Serviço,51071,Transferência,A Pagar,2023-04-21,7809,Pago,498948,Infraestrutura,76100,80386,67685,733491,19 parcelas até 2023-10-02,9181,2023-06-11,98,48215
2023-03-31,67162,37778,Consultoria em TI,Nordeste,Sim,2023-05-02,Manutenção,Contrato de Serviço,65799,Transferência,A Pagar,2023-11-16,16816,Atrasado,403240,Desenvolvimento,55686,92909,81963,549923,36 parcelas até 2023-03-10,19087,2023-07-28,39,44754
2023-04-01,10792,62107,Infraestrutura de TI,Norte,Sim,2023-02-23,Manutenção,Faturamento de Licença,49390,Boleto,A Pagar,2023-10-05,5739,Pendente,461699,Marketing,47157,115239,92888,360913,18 parcelas até 2023-12-09,48103,2023-03-03,96,14134
2023-04-02,79839,53209,Suporte Técnico,Sudeste,Sim,2023-12-10,Serviços Gerenciados,Contrato de Serviço,17730,Cartão de Crédito,A Pagar,2023-08-11,26027,Pendente,329757,Desenvolvimento,27317,174668,26222,950296,26 parcelas até 2023-05-25,21548,2023-09-23,74,2678
2023-04-03,36427,47515,Consultoria em TI,Nordeste,Sim,2023-10-09,Licenciamento de Software,Venda de Hardware,54105,PIX,A Receber,2023-10-21,32825,Atrasado,81071,Desenvolvimento,68899,197056,90780,184260,25 parcelas até 2023-08-03,39229,2023-08-29,55,28792
2023-04-04,47404,68585,Infraestrutura de TI,Sul,Sim,2023-03-28,Manutenção,Contrato de Serviço,44166,PIX,A Pagar,2023-07-08,47479,Pendente,427576,Infraestrutura,25363,163554,34927,119194,32 parcelas até 2023-08-15,45946,2023-01-26,85,6549
2023-04-05,95020,63671,Consultoria em TI,Sul,Sim,2023-12-03,Venda de Equipamentos,Faturamento de Licença,94332,Cartão de Crédito,A Pagar,2023-01-21,24200,Pago,122945,Infraestrutura,74093,108386,54967,604365,13 parcelas até 2023-01-28,18689,2023-11-09,40,31234
2023-04-06,29985,11612,Desenvolvimento de Software,Sudeste,Sim,2023-10-23,Licenciamento de Software,Venda de Hardware,96154,PIX,A Pagar,2023-09-09,38022,Pendente,88063,Comercial,54978,65875,68653,993105,35 parcelas até 2023-12-11,49759,2023-02-18,81,38340
2023-04-07,85975,75593,Suporte Técnico,Sul,Sim,2023-12-22,Venda de Equipamentos,Manutenção de Servidor,40790,Boleto,A Receber,2023-10-18,29447,Pago,487112,Marketing,64429,79017,56089,992613,23 parcelas até 2023-10-30,10297,2023-05-31,31,40475
